,root_id,upstream_bitter_2Ns,bitter_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_bitter_input,avg_upstream_synapses,neuron_type,#_projection_synapses
43,720575940611799445,1,15,1,ACH,left,655.0,581.0,1,0,15,0,15,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.2900763358778624,15.0,projection,329
44,720575940611849178,2,87,1,ACH,right,112.0,333.0,0,2,0,87,-87,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,77.67857142857143,43.5,local,0
45,720575940611988197,1,15,1,ACH,left,804.0,1185.0,0,1,0,15,-15,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.8656716417910446,15.0,local,0
46,720575940612208858,1,12,1,GABA,right,3368.0,2893.0,0,1,0,12,-12,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.35629453681710216,12.0,local,0
47,720575940612336819,2,164,1,ACH,left,3511.0,3379.0,0,2,0,164,-164,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.671033893477642,82.0,local,0
48,720575940612357618,1,117,1,ACH,right,2274.0,728.0,0,1,0,117,-117,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,5.145118733509235,117.0,local,0
49,720575940612479205,1,13,1,GABA,left,842.0,1103.0,0,1,0,13,-13,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.5439429928741093,13.0,projection,5
50,720575940612692633,1,10,1,ACH,left,2734.0,1342.0,0,1,0,10,-10,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.36576444769568395,10.0,local,0
51,720575940612840982,1,69,1,GABA,left,5231.0,3432.0,0,1,0,69,-69,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.319059453259415,69.0,projection,2618
52,720575940613087914,1,11,1,ACH,left,659.0,481.0,1,0,11,0,11,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.669195751138088,11.0,projection,270
53,720575940613222195,1,10,1,GABA,left,259.0,633.0,1,0,10,0,10,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.861003861003861,10.0,local,0
54,720575940613347299,1,12,1,ACH,right,3833.0,1919.0,0,1,0,12,-12,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.31307070180015656,12.0,projection,12
55,720575940613426343,1,14,1,ACH,left,383.0,217.0,0,1,0,14,-14,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.6553524804177546,14.0,local,0
56,720575940613527789,2,24,1,ACH,right,171.0,108.0,0,2,0,24,-24,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,14.035087719298245,12.0,local,0
57,720575940613776424,1,15,1,GLUT,left,239.0,29.0,1,0,15,0,15,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,6.2761506276150625,15.0,projection,11
