,root_id,upstream_water_2Ns,water_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_water_input,avg_upstream_synapses
308,720575940644750116,1,10,1,ACH,left,467.0,779.0,1,0,10,0,10,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.141327623126338,10.0
309,720575940645045527,1,26,1,ACH,left,1495.0,309.0,1,0,26,0,26,non activated,water,non activated,non activated,non activated,non activated,non activated,activated,activated,1.7391304347826086,26.0
310,720575940645537902,1,12,1,GLUT,left,599.0,480.0,1,0,12,0,12,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.003338898163606,12.0
311,720575940645544068,1,24,1,DA,left,119.0,63.0,1,0,24,0,24,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,20.168067226890756,24.0
312,720575940645682211,1,15,1,DA,left,112.0,75.0,1,0,15,0,15,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,13.392857142857142,15.0
313,720575940647214724,1,10,1,DA,left,77.0,58.0,1,0,10,0,10,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,12.987012987012985,10.0
314,720575940647606148,1,10,1,ACH,left,754.0,505.0,1,0,10,0,10,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.3262599469496021,10.0
315,720575940648180868,1,12,1,ACH,right,1060.0,1281.0,0,1,0,12,-12,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.1320754716981132,12.0
316,720575940648188548,1,11,1,ACH,right,1811.0,793.0,0,1,0,11,-11,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.6073992269464384,11.0
317,720575940649692281,1,15,1,ACH,left,115.0,122.0,1,0,15,0,15,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,13.043478260869565,15.0
318,720575940649812857,1,12,1,ACH,left,224.0,332.0,1,0,12,0,12,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,5.357142857142857,12.0
319,720575940652580086,4,154,1,GABA,left,1901.0,1059.0,4,0,154,0,154,non activated,water,non activated,activated,activated,activated,activated,activated,activated,8.100999473961073,38.5
320,720575940654094241,1,13,1,GABA,left,977.0,752.0,1,0,13,0,13,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.3306038894575232,13.0
321,720575940659857025,1,10,1,ACH,left,92.0,157.0,1,0,10,0,10,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,10.869565217391305,10.0
322,720575940660223873,1,15,1,ACH,left,1407.0,2354.0,1,0,15,0,15,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,activated,1.0660980810234542,15.0
323,720575940660313729,1,11,1,ACH,left,414.0,417.0,1,0,11,0,11,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.657004830917874,11.0
