,root_id,upstream_sugar_2Ns,sugar_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_sugar_input,avg_upstream_synapses,neuron_type,#_projection_synapses
389,720575940633366498,4,55,1,ACH,left,88.0,234.0,0,4,0,55,-55,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,62.5,13.75,local,0
390,720575940633612698,1,76,1,DA,right,562.0,301.0,1,0,76,0,76,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,13.523131672597867,76.0,local,0
391,720575940633674135,1,125,1,GABA,right,789.0,1118.0,1,0,125,0,125,activated,sugar,activated,activated,activated,activated,activated,activated,activated,15.842839036755388,125.0,local,0
392,720575940633772257,1,49,1,GABA,right,2370.0,3265.0,1,0,49,0,49,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.067510548523207,49.0,local,0
393,720575940633813940,1,82,1,SER,right,214.0,159.0,0,0,0,0,0,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,38.31775700934579,82.0,local,0
394,720575940633978207,1,10,1,,left,33.0,86.0,0,1,0,10,-10,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,30.303030303030305,10.0,local,0
395,720575940634093337,1,13,1,ACH,right,584.0,1188.0,0,0,0,0,0,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.2260273972602738,13.0,local,0
396,720575940634105439,1,12,1,ACH,left,367.0,442.0,1,0,12,0,12,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.2697547683923704,12.0,local,0
397,720575940634210155,2,69,1,ACH,right,1567.0,2197.0,2,0,69,0,69,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,4.403318442884493,34.5,local,0
398,720575940634260636,1,10,1,ACH,right,5030.0,3185.0,0,1,0,10,-10,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.19880715705765406,10.0,projection,1851
399,720575940634301852,2,39,1,GABA,right,2593.0,2445.0,2,0,39,0,39,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,1.504049363671423,19.5,local,0
400,720575940634357867,1,11,1,GLUT,left,1247.0,958.0,0,1,0,11,-11,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.8821170809943866,11.0,projection,420
401,720575940634527840,1,47,1,ACH,left,242.0,194.0,0,0,0,0,0,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,19.421487603305785,47.0,local,0
402,720575940634756203,1,12,1,GABA,right,3426.0,1288.0,1,0,12,0,12,activated,sugar,activated,activated,activated,activated,activated,activated,activated,0.3502626970227671,12.0,local,0
403,720575940634782359,1,11,1,GABA,right,736.0,1335.0,0,1,0,11,-11,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.4945652173913044,11.0,local,0
404,720575940634788247,3,55,1,ACH,left,440.0,186.0,0,3,0,55,-55,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,12.5,18.333333333333332,local,0
405,720575940634825623,2,36,1,ACH,left,1273.0,880.0,2,0,36,0,36,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,2.8279654359780046,18.0,local,0
406,720575940634900855,5,98,1,ACH,right,800.0,1153.0,4,0,63,0,63,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,12.25,19.6,local,0
407,720575940634919580,1,42,1,ACH,left,729.0,232.0,1,0,42,0,42,non activated,sugar,non activated,non activated,non activated,activated,non activated,non activated,non activated,5.761316872427984,42.0,local,0
408,720575940635055039,2,67,1,ACH,left,775.0,551.0,2,0,67,0,67,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,8.645161290322582,33.5,local,0
409,720575940635089306,1,23,1,GLUT,right,709.0,783.0,1,0,23,0,23,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.244005641748942,23.0,projection,40
410,720575940635166571,2,45,1,GABA,right,1732.0,1178.0,2,0,45,0,45,non activated,sugar,activated,non activated,activated,activated,activated,activated,activated,2.5981524249422634,22.5,local,0
411,720575940635392910,2,42,1,ACH,left,44.0,120.0,0,2,0,42,-42,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,95.45454545454545,21.0,local,0
412,720575940635527322,4,143,1,ACH,right,1672.0,2169.0,1,3,10,133,-123,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,8.552631578947368,35.75,local,0
413,720575940635576767,1,13,1,GABA,left,1125.0,1546.0,0,1,0,13,-13,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.1555555555555554,13.0,local,0
414,720575940635596212,3,139,1,GABA,right,1937.0,2001.0,0,3,0,139,-139,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,7.176045431078988,46.333333333333336,local,0
415,720575940635611316,3,103,1,GABA,right,2883.0,2647.0,2,1,43,60,-17,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,3.5726673603884844,34.333333333333336,local,0
